?002750,0.426229508,2024.666667,1473,0,3.02,1675,1508,6.5,0.65,21.21,31.03,30.54,22.99,45.16,0.6441,44.54,50,0.6441,0.4252,5.31,0.11,34500,4.2025,2.6526,1.2992,0.43,442.03,1.82,0.87,15.5,7
?002751,0.083333333,274.3333333,1198,1622,1.55,1756,1580,6.5,0.65,10.48,62.9,15.09,22.98,48.18,0.3387,138.08,140,0.3387,0.1428,4.73,0.18,27604.78,6.1609,2.4902,4.3421,0.35,2537.18,1.48,0.67,14.89,24
?002752,0.814814815,232.8888889,3355,3258,3.14,6000,5400,18,1.8,5.74,25.24,8.27,22.96,50.65,0.5264,88.21,93,0.5264,0.1808,2.66,0.13,52510.47,23.4133,9.7236,18.7047,1.1,2898.47,5.44,0.31,12.29,10
?002755,0.370786517,388.25,3714,1340,1.63,2534,2281,10,1,7.49,35.1,10.79,20.49,26.6,0.316,163.58,166,0.3160119,0.1134,4.39,2.32,18277,5.8266,3.3361,4.7087,0.38,214.84,2.27,0.74,11.77,17
?002756,1,312.375,2942,1520,9.98,5000,4500,20,2,21.74,42.67,31.31,17.97,63.68,0.4784,180.55,182,0.4784,0.1048,11.36,2.32,139800,20.1503,17.0351,40.1882,2.64,3820.44,13.18,1.76,16.73,13
?002757,0.758333333,133.2222222,63351,1287,3.21,2734,2461,10.5,1.05,12.94,40.27,18.63,22.98,72.91,0.3238,155.35,160,0.947,2.75,4.23,2.32,46193.65,6.2773,3.4723,5.4311,0.63,5665.38,1.88,0.77,16.81,14
?002758,0.45,84.55555556,4583,1216,2.21,1400,1260,5.5,0.55,18.04,74.8,25.98,22.98,53.78,0.2564,181.19,182,0.947,2.75,6.65,2.32,25659.08,7.5699,2.7917,11.4389,0.46,8613.28,1.37,1.09,17.7,14
?002759,0.729166667,450.9,3745,1177,2.43,2400,2160,9.5,0.95,12.02,36.18,17.31,20.16,41.85,0.3144,148.07,149,0.947,2.75,3.78,2.32,25700,4.401,2.8838,1.0031,0.16,4111.11,1.55,0.22,5.77,13
?002760,0.872,157.3333333,3115,1060,1.47,2200,1980,8.5,0.85,8.31,37.15,11.97,22.97,64.33,0.345,114,114,0.345,0.165,5.98,0.02,25389.2,9.3069,3.9472,5.222,0.37,11046.82,1.92,0.56,9.88,11
?002761,0.477272727,711.4444444,3502,1575,1.85,3000,2700,12,1.2,7.28,36.85,10.48,22.75,67.49,0.2278,103,105,0.2278,0.1812,4.55,0.04,28056.4,6.7986,4.0985,6.7211,0.45,8478.33,2.09,0.5,11.67,12
