,股票代码,网址,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
110,?300515,http://topic.eastmoney.com/hnsdkj/,error,error,3.04,error,27031.47,3.4507,2.339,error,error,5033.09,0.94,error,error
111,?002799,http://topic.eastmoney.com/hqyw2012/,error,error,4.25,error,25668.52,5.8665,3.1888,4,0.35,291.64,2.15,error,11.6
112,?603131,http://topic.eastmoney.com/hghjjt2014/,error,error,4.47,error,26565.84,4.5605,3.356,4.5961,0.48,8073.09,1.55,error,15.42
113,?601611,http://topic.eastmoney.com/ZHGYJS2014/,error,error,2.87,error,540336.8,571.6021,67.5056,409.7002,9.13,error12136.26,26.74,error,error
114,?300516,http://topic.eastmoney.com/jzyhwxt/,error,error,4.39,error,72098.64,6.4109,4.1643,error,error,2812.54,2.64,error,error
115,?603737,http://topic.eastmoney.com/skstl/,error,error,7.31,error,34349.82,9.8233,5.3431,2.1291,error0.14,1126.6,4.11,error,error2.55
116,?002800,http://topic.eastmoney.com/xjts/,error,error,4.83,error,21917,4.523,2.7442,error,error,6521.46,1.43,error,error
117,?300513,http://topic.eastmoney.com/htsdkj/,error,error,5.37,error,27410.4,4.274,3.0495,error,error,9256.83,1.39,error,error
118,?300512,http://topic.eastmoney.com/zyjx2014/,error,error,5.02,error,66486,10.6108,5.3999,error,error,6998.48,3.18,error,error
119,?002798,http://topic.eastmoney.com/dwjy2014/,error,error,5.98,error,21125.82,4.4892,3.8541,error,error,7755.89,2.14,error,error
120,?603339,http://topic.eastmoney.com/sfllzb2014/,error,error,4.62,error,46504,8.6107,7.1583,7.3737,1.26,6930.27,4.66,0.81,19.11
121,?603959,http://topic.eastmoney.com/blgckj/,error,error,2.74,error,86993.9,10.6951,4.2387,2.72,0.38,1817.74,2.12,error,9.32
122,?603779,http://topic.eastmoney.com/wlptj/,error,error,3.53,error,70470.13,14.6078,5.2978,error,error,error,3.41,error,error
123,?002797,http://topic.eastmoney.com/dycyzq2014/,error,error,3.12,error,error,332.7352,65.75,25.485,9.53,187296.95,12.33,0.52,18.15
124,?002796,http://topic.eastmoney.com/sjkj/,error,error,4.31,error,22526.76,3.4575,2.5867,4.624,0.54,5934.83,1.19,0.9,22.11
125,?300510,http://topic.eastmoney.com/JGDQIPO/,error,error,4.8,error,23874,4.7212,3.219,2.6196,0.51,5817.29,1.69,error,17.34
126,?603101,http://topic.eastmoney.com/hjsdbhipo/,error,error,3.52,error,68240.25,20.6865,6.3446,27.4151,1.04,1788.1,4.02,0.58,17.32
127,?300511,http://topic.eastmoney.com/SHXRSWIPO/,error,error,5.72,error,113639.36,17.7476,6.4299,10.19,1.25,9749.66,3.98,error,21.41
128,?603528,http://topic.eastmoney.com/dlkjipo/,error,error,4.1,error,41979.1,13.9479,6.3731,7.3304,3.05,397.01,3.96,error,60.21
129,?300507,http://topic.eastmoney.com/alw2012/,error,error,6.72,error,37440.8,4.3699,3.4912,4.6967,0.82,1985.2,2.38,error,26.07
130,?002795,http://topic.eastmoney.com/yhltzkipo/,error,error,2.83,error,32821.27,4.207,2.1197,4.7791,0.66,3948.48,0.72,error,29.47
131,?603822,http://topic.eastmoney.com/jahbkj/,error,error,error,error,error,5.432,3.333,5.9749,0.3214,0.773,1.7995,0.5844,10.13
132,?603029,http://topic.eastmoney.com/temyjx/,error,error,7.23,error,50180.62,8.6749,5.0736,3.7859,0.4,7213.11,3.18,error,8.26
133,?300509,http://topic.eastmoney.com/xmxbz/,error,error,5.2,error,25970,8.7477,3.1228,4.4828,0.5,9549.07,1.41,0.83,17.22
134,?603726,http://topic.eastmoney.com/zjldjt/,0.0422,0.0095,6.25,error,29800,8.5201,4.4402,7.2368,0.61,224.91,3.51,0.86,14.85
135,?300508,http://topic.eastmoney.com/whdzkj/,0.0319,0.0248,4.31,error,20971.72,2.1244,1.9374,1.3058,0.52,223.74,1.27,error,30.29
