,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
http://topic.eastmoney.com/lslfyy/,,&nbsp;,6.24,-,31188.02,6.3557,4.302,1.2338,0.25,19291,1.52,-,5.89
http://topic.eastmoney.com/XJXTTRQIPO/,,&nbsp;,5.35,-,152713,9.1483,6.4194,3.9906,0.8,18829.92,2.31,-,12.49
http://topic.eastmoney.com/yncx/,,&nbsp;,7.32,-,74776.7,13.062,7.3487,5.1097,0.75,23727.27,3.18,0.75,10.21
http://topic.eastmoney.com/SJLTIPO/,,&nbsp;,4.82,-,error,91.9517,28.9386,15.8439,1.61,3926.58,15.58,0.27,5.72
http://topic.eastmoney.com/ytgjjs/,,&nbsp;,4.68,-,67074.87,17.2974,6.3229,8.9555,0.43,10009.84,3.59,0.32,7.05
http://topic.eastmoney.com/lkzndq/,,&nbsp;,5.6,-,28682.82,5.5466,2.8731,4.0215,0.35,6242.34,1.65,0.79,13.12
http://topic.eastmoney.com/zplqipo/,,&nbsp;,2.32,-,65190.72,26.0267,6.9782,24.0779,0.88,1976.23,3.06,0.29,13.36
http://topic.eastmoney.com/jyncsy/,,&nbsp;,4.64,-,92390.22,904.7841,75.1417,25.043,8.15,-,21,0.52,12.13
http://topic.eastmoney.com/atsw/,,&nbsp;,2.29,-,78430.15,11.1999,8.6625,4.3374,1.48,38.82,4.22,-,18.64
http://topic.eastmoney.com/nbhhmj/,,&nbsp;,3.09,-,33062,4.4984,2.2345,1.8461,0.14,3941.86,1.02,0.2,6.7
http://topic.eastmoney.com/gxggxcl/,,&nbsp;,3.35,-,27001.52,3.5317,2.6399,1.3113,0.21,4862.17,1.22,-,8.3
